nome_de_usuario,nome,senha,pais,data_de_nascimento
joaodasilva,João da Silva,1234,Brasil,1985-03-10
anaclara,Ana Clara,1234,Portugal,1992-07-22
pedroalmeida,Pedro Almeida,1234,Brasil,1988-11-05
luciarodrigues,Lucia Rodrigues,1234,Espanha,1995-01-18
carlossantos,Carlos Santos,1234,Brasil,1980-06-30
mariamartins,Maria Martins,1234,Portugal,1990-04-12
ricardocosta,Ricardo Costa,1234,Brasil,1975-09-25
sofiaferreira,Sofia Ferreira,1234,Argentina,1998-02-08
franciscopereira,Francisco Pereira,1234,Brasil,1983-10-15
helenamendes,Helena Mendes,1234,Chile,1991-12-03
cicerogledson,Cicero Gledson,1234,Brasil,1981-12-27
